                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.9341,                0.92324,                 1.0721,                0.73599,                0.41667,                0.52424,                0.25152,                 1.9078,                 0.8731,                 1.0864,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.9081,                0.90971,                 1.0678,                0.73401,                0.41693,                 0.5238,                0.25083,                 1.9119,                0.87225,                 1.0872,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.9079,                0.90481,                 1.0638,                0.73424,                0.41757,                0.52428,                 0.2522,                 1.9052,                0.87014,                 1.0856,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.9275,                0.91446,                 1.0646,                0.73458,                0.41977,                0.52573,                0.25232,                 1.9072,                0.87022,                 1.0849,              0.0007526,              0.0007526,              0.0007526
                    128,                 1.9102,                0.90741,                 1.0631,                0.73862,                0.41804,                0.52586,                0.25321,                 1.9031,                0.86764,                 1.0848,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.9155,                 0.9103,                 1.0666,                0.73694,                0.41949,                0.52633,                0.25343,                 1.8998,                0.86453,                 1.0845,              0.0007328,              0.0007328,              0.0007328
                    130,                 1.9075,                0.90667,                 1.0636,                0.73684,                0.41903,                0.52622,                 0.2539,                 1.8974,                0.86477,                 1.0825,              0.0007229,              0.0007229,              0.0007229
                    131,                 1.8937,                0.89986,                 1.0649,                0.73515,                0.41922,                0.52646,                0.25397,                 1.8979,                0.86449,                 1.0825,               0.000713,               0.000713,               0.000713
                    132,                 1.9133,                0.90829,                  1.064,                0.73648,                 0.4183,                0.52575,                 0.2537,                 1.9008,                0.86442,                 1.0823,              0.0007031,              0.0007031,              0.0007031
                    133,                 1.9064,                0.90638,                 1.0612,                0.73644,                0.42014,                0.52718,                0.25464,                 1.8972,                0.86227,                 1.0818,              0.0006932,              0.0006932,              0.0006932
                    134,                 1.8979,                0.89962,                 1.0595,                0.73624,                0.42007,                0.52718,                0.25491,                 1.8933,                0.86153,                 1.0801,              0.0006833,              0.0006833,              0.0006833
                    135,                 1.8939,                  0.894,                 1.0571,                 0.7383,                   0.42,                0.52748,                0.25592,                  1.887,                0.85994,                 1.0792,              0.0006734,              0.0006734,              0.0006734
                    136,                 1.9084,                 0.9073,                 1.0611,                0.73952,                0.42009,                0.52817,                0.25549,                  1.892,                0.86104,                 1.0796,              0.0006635,              0.0006635,              0.0006635
                    137,                  1.896,                0.90166,                 1.0616,                0.73951,                0.41995,                0.52803,                0.25574,                  1.888,                0.85916,                 1.0794,              0.0006536,              0.0006536,              0.0006536
                    138,                 1.9044,                0.90445,                 1.0592,                0.73971,                0.42123,                0.52897,                0.25701,                 1.8824,                0.85608,                 1.0779,              0.0006437,              0.0006437,              0.0006437
                    139,                 1.8792,                0.88861,                 1.0563,                0.73759,                0.42279,                0.53007,                0.25813,                 1.8791,                0.85509,                 1.0764,              0.0006338,              0.0006338,              0.0006338
                    140,                  1.894,                0.89522,                 1.0585,                0.74175,                 0.4217,                0.52993,                 0.2583,                 1.8785,                0.85449,                 1.0762,              0.0006239,              0.0006239,              0.0006239
                    141,                 1.8911,                0.89746,                  1.056,                0.73926,                0.42334,                 0.5306,                0.25862,                  1.878,                0.85306,                 1.0758,               0.000614,               0.000614,               0.000614
                    142,                 1.8785,                0.89118,                 1.0525,                 0.7417,                0.42184,                0.53056,                0.25835,                 1.8788,                0.85391,                  1.076,              0.0006041,              0.0006041,              0.0006041
                    143,                 1.8803,                0.89356,                 1.0545,                0.74266,                0.42215,                0.53136,                0.25864,                 1.8788,                0.85178,                 1.0753,              0.0005942,              0.0005942,              0.0005942
                    144,                 1.8633,                0.88348,                 1.0543,                0.74112,                0.42322,                 0.5311,                0.25854,                 1.8771,                 0.8517,                  1.075,              0.0005843,              0.0005843,              0.0005843
                    145,                 1.8714,                0.88593,                 1.0538,                0.74207,                 0.4227,                0.53131,                0.25967,                 1.8701,                0.84994,                 1.0732,              0.0005744,              0.0005744,              0.0005744
                    146,                  1.874,                0.88676,                 1.0569,                0.74469,                0.42248,                0.53186,                0.25972,                 1.8712,                0.84961,                 1.0729,              0.0005645,              0.0005645,              0.0005645
                    147,                 1.8639,                0.88512,                 1.0528,                0.74213,                0.42236,                0.53153,                0.25967,                 1.8705,                0.84965,                 1.0726,              0.0005546,              0.0005546,              0.0005546
